"id","textDisplay","authorDisplayName","publishedAt"
"UgwhWGu_LOEe2QcgyUB4AaABAg","Men uzbekistondanman","@psixpubg1605","2024-01-17T12:23:12Z"
"UgwibEgjBfsHX6MtQYt4AaABAg","Thanks for your BBC","@user-zl4pg2qe7u","2024-01-16T01:20:18Z"
"Ugx5N2Sv45grOsmYz054AaABAg","This video was amazing, because it made me realize what I had to do","@27.rihandewangga83","2024-01-15T09:55:25Z"
"UgziThy9gQ4H3oQdyel4AaABAg","IELTS LISTENING NI OSHIRISH UCHUN KIRGANLAR BIRGAMIZ 😂😂","@Mermaidscalesfan0228","2024-01-14T06:44:10Z"
"Ugx5UZFK50nDxSD8Xkp4AaABAg","me too","@fgyu4202","2024-01-13T08:43:26Z"
"UgwnWq1NGNbacFZ1zqB4AaABAg","I am following my dream❤","@giselisampaio","2024-01-12T12:42:01Z"
"UgzA477WLZM4O5qPFV54AaABAg","I am from Kyrgyzstan 🇰🇬","@user-vn5yv1wr3r","2024-01-11T10:25:55Z"
"Ugwa-R1J_K9rGGhCafN4AaABAg","I&#39;am from algeria 🇩🇿🇵🇸and vive palstine indepndent and muslmane","@meriemmeriem9143","2024-01-10T15:32:48Z"
"Ugwc8SVWvjayRWknVC14AaABAg","Dreams stay dreams without planning","@redouaneljaouhari3379","2024-01-09T11:56:21Z"
"UgxsMQqVPkCVqYCfVlh4AaABAg","I&#39;m from UZBEKISTAN","@user-jr9qg1do9c","2024-01-09T08:34:12Z"
"UgzhVLSJ8npZOSh3xtZ4AaABAg","This video is very good.  Everyone takes a lot supports","@user-jr9qg1do9c","2024-01-09T08:33:22Z"
"Ugy4ngV9VV004cDtkTl4AaABAg","This video is perfect and very usefull","@Ricardoquaresma7229","2024-01-07T08:09:40Z"
"UgzsNoHIa0TIHIrS0xJ4AaABAg","I am from popular counry, from Uzbekiston","@uzkanal289","2024-01-06T08:51:20Z"
"UgxiKIz5Wb1s5B-8Dkd4AaABAg","Hello I&#39;m from UZBEKISTAN ❤❤","@user-hj2ur3hc8y","2024-01-06T05:06:31Z"
"UgxDs2Hcf6l1dHyT2cd4AaABAg","The subtitles are right? Thank u❤","@jennifero.olivera7854","2024-01-03T16:07:20Z"
"Ugzl21oTWvZQJxSYjWt4AaABAg","I am from Uzbekistan","@shox_akken_01","2024-01-03T09:20:28Z"
"Ugz9dTMYvKJEP_w2l8x4AaABAg","I am from uzbekistan","@_MOTAVATION_SPEECH","2024-01-02T16:42:40Z"
"UgwpZ-onIf5LhA6QSjV4AaABAg","Be4 watching this video I didnt understand what is utopiaAfter that i imagine i want a utopia😌🤩","@biybinurserjanova5674","2024-01-02T12:57:45Z"
"Ugxois3A9IvK9I9yUUp4AaABAg","It’s so interesting","@nouhailaatourky8121","2024-01-01T17:50:11Z"
"UgzM6G6FNKVb3ey6BJd4AaABAg","From Paradise 🇰🇬","@Mirlans-Life","2023-12-31T21:44:42Z"
"Ugy8x1Oblv3ao-ME4nF4AaABAg","I&#39;m from Bangladesh 🇧🇩","@AmranHossain-mk7ys","2023-12-30T14:01:58Z"
"UgyArdP8wfhSZ9IumXx4AaABAg","i&#39;ve learned a lot of data from this video.❤❤","@nodirbekislomov7959","2023-12-30T10:26:26Z"
"UgyWElp_mhB7c43s-L14AaABAg","Awesome never before I&#39;ve heard this podcat, i&#39;m grateful. By the way I&#39;m from Uzbekistan ❤😂😊😊","@muhiddinnurmuhamedov5541","2023-12-30T08:30:11Z"
"UgyT_cvS-6--rV146ux4AaABAg","This podcast top important and clever to you","@user-pi4ck3rz9x","2023-12-30T05:06:12Z"
"Ugy4iFLrBzujwhezW6J4AaABAg","This is an amazing resource! I use this in my educational institution for EFL students. Thank you very much!✌😊","@LearningEnglishPol-Mil-Ae","2023-12-30T02:47:28Z"
"UgzaTd25wn6vwst_8n14AaABAg","This podcast was very important and helped to change my life😊😊","@MARS_top1","2023-12-29T05:19:42Z"
"UgwacNJdFkdg147Asnt4AaABAg","I am from Uzbekistan","@abdulaziz-wr5eb","2023-12-29T02:10:45Z"
"UgzvKpLTrk1xfUM3LXx4AaABAg","Hi, I&#39;m from Venezuela.","@GraffeTV","2023-12-28T14:10:45Z"
"Ugx75CvjewYEdB8DcQJ4AaABAg","Thanks from uzbekistan🎉","@user-pj3lq2lo8s","2023-12-28T11:24:30Z"
"UgzA_e07UPt3BK96ovl4AaABAg","I&#39;m Adnan Hussain form Karachi Pakistan 🇵🇰","@vlogchannel8600","2023-12-26T16:20:03Z"
"UgyeUANhynwewhNdvBd4AaABAg","From Bangladesh 🇧🇩","@abuhanif9103","2023-12-26T10:54:59Z"
"UgxE1mM9tumW7GwGF_p4AaABAg","What should I do to improve my English while watching these videos?","@huseyinquliyev2280","2023-12-25T13:22:33Z"
"UgzZ4Bt5emaLu74ysNt4AaABAg","I&#39;m From Uzbekistan 🇺🇿","@alijonqudratov3699","2023-12-25T10:15:35Z"
